10000 30000
0 7579 192
0 8938 165
0 5027 176
1 9058 21
1 3195 167
2 6298 51
2 1809 10
2 2610 192
2 4136 48
3 5569 152
3 9759 162
3 601 31
4 1647 34
4 8845 4
5 7023 70
5 1771 101
6 6889 151
6 4176 0
6 9124 113
7 5039 9
7 8875 48
8 2600 200
8 1417 53
8 5907 27
8 1791 152
8 932 82
8 1265 46
9 7015 9
9 6474 35
9 8855 181
10 9011 98
10 6567 181
10 6257 15
10 4344 60
11 2094 122
11 8107 70
12 4886 104
12 7478 104
12 4269 73
12 5704 96
13 4728 83
13 1000 200
14 4961 165
14 8089 5
14 4159 146
14 9342 88
15 1291 165
15 5598 117
15 1808 92
15 2115 155
16 7855 30
16 9350 132
16 7171 30
17 9639 146
17 1076 179
18 113 198
18 6065 106
18 7119 173
19 7205 183
19 9929 158
19 7190 82
19 1026 55
20 8481 171
20 5068 4
20 860 57
20 2994 167
21 9788 189
21 5651 109
21 6116 179
22 998 104
22 9127 179
23 8765 156
23 5007 35
24 7338 97
24 159 94
24 6552 156
24 1796 37
25 8647 50
25 9612 95
26 5914 159
26 5350 31
27 8751 150
27 8614 134
27 1677 93
27 9186 181
28 5842 75
28 3715 94
29 9490 126
29 9508 100
29 8018 68
30 8520 70
30 8470 37
30 9094 143
31 9894 63
31 5188 52
31 6670 4
31 7734 1
32 9108 197
32 2415 67
32 1447 110
33 2192 103
33 6928 187
33 2780 152
34 6966 178
34 5458 76
35 5723 114
35 6897 45
35 3259 186
36 5627 193
36 6649 85
37 44 164
37 7614 121
37 1302 183
38 4793 55
38 7787 36
39 3909 54
39 2325 5
40 2683 18
40 2612 164
40 147 13
40 942 86
40 9205 49
40 8425 193
41 1824 151
41 9877 60
42 1645 29
42 5524 28
42 1259 98
42 8360 133
43 4942 190
43 4617 83
43 3772 88
43 4189 128
44 1276 184
44 8321 56
44 107 167
44 6652 30
45 377 175
45 1262 133
45 2157 160
45 3834 132
46 379 23
46 7566 190
47 483 33
47 4668 179
47 5590 74
47 4493 18
48 9614 120
48 3908 121
48 5107 40
48 2163 142
49 689 91
49 5665 55
50 5772 183
50 1663 130
50 1965 83
50 4331 29
51 2036 80
51 9469 158
51 4830 95
52 5522 195
52 9666 124
53 1153 72
53 2062 76
53 948 106
54 1637 30
54 4238 52
54 2552 162
55 8715 189
55 2518 55
56 1690 40
56 991 144
56 1274 162
56 5087 43
57 5650 149
57 152 38
57 1298 56
58 9288 146
58 6274 197
59 5885 88
59 7023 56
60 3529 19
60 7295 137
61 4571 24
61 2444 33
61 1551 101
61 2674 31
62 2127 137
62 2637 166
62 5172 143
63 9002 12
63 6387 86
63 153 197
63 9734 109
64 6345 55
64 6520 46
64 9023 193
65 9288 37
65 1119 162
65 6679 112
65 5149 43
66 5035 140
66 1466 169
66 2289 86
66 3808 146
67 4599 75
67 507 92
68 8934 67
68 9348 119
68 287 73
68 2583 126
69 110 124
69 5061 116
69 1019 83
69 2092 132
70 3073 78
70 5353 179
70 2112 99
71 1945 117
71 2783 48
71 4590 26
71 9804 113
72 7788 15
72 680 108
72 7104 129
73 3778 38
73 5713 144
74 6224 89
74 6275 62
74 2599 57
75 4431 65
75 7387 165
75 7137 194
75 3401 37
76 2385 3
76 8663 10
76 638 64
76 9507 40
77 8557 169
77 9727 64
77 8699 34
78 7219 178
78 1675 111
78 9877 111
78 180 191
79 686 167
79 323 74
80 2995 117
80 3020 134
81 153 180
81 2378 40
81 7871 159
81 2138 133
82 5544 146
82 5348 116
82 7410 83
83 4827 150
83 3715 151
84 5252 127
84 5068 81
84 6744 77
85 1295 25
85 8385 92
85 1882 127
86 2792 162
86 4934 135
86 1751 194
87 9233 188
87 3421 122
87 2593 46
87 3524 94
88 1066 3
88 4858 85
88 5600 198
89 4977 175
89 8796 38
90 1532 66
90 5583 136
91 8394 199
91 96 189
91 1753 61
91 5421 120
92 8256 158
92 6047 74
92 2330 89
93 3359 141
93 7723 72
93 7732 135
93 8663 39
94 5666 55
94 5385 86
94 4417 78
94 4721 132
95 7109 182
95 1211 154
96 1506 132
96 5611 65
96 2874 101
96 9119 174
97 9200 105
97 8397 196
98 6657 106
98 6879 84
99 4551 66
99 8478 62
99 5284 27
100 15 115
100 9011 8
100 1142 137
100 3452 165
101 2730 54
101 6636 85
101 5985 190
101 78 90
102 2919 165
102 9294 50
102 10000 139
103 7336 103
103 1342 139
104 1671 61
104 4488 177
104 9481 100
105 3717 23
105 7399 81
105 902 55
106 4958 169
106 5940 180
107 1966 116
107 9480 106
108 1602 4
108 7839 181
108 8834 28
108 2346 170
109 3929 49
109 4690 27
109 9784 5
109 3959 125
110 8219 35
110 9096 63
111 2855 83
111 3613 104
111 4921 90
112 9828 157
112 5543 39
112 6913 38
112 4008 6
113 7216 198
113 8866 139
114 3943 134
114 754 51
114 9187 96
114 1507 4
115 8070 27
115 2952 88
115 8401 178
116 2150 31
116 494 96
117 4892 158
117 7935 103
117 8259 27
117 6104 64
118 4875 3
118 8875 8
118 9746 140
119 3711 7
119 1830 56
120 5474 1
120 9988 41
121 4978 68
121 2957 8
121 4659 72
122 1490 171
122 6285 168
122 6551 144
122 3234 73
123 1029 12
123 8555 98
123 5604 8
124 4487 41
124 3823 111
124 2918 7
124 9051 105
125 1265 122
125 2607 136
125 789 179
126 7125 53
126 8218 79
126 7507 150
126 869 100
127 9557 148
127 9176 93
127 9502 25
128 6724 99
128 418 191
128 5075 172
128 2317 145
129 7571 17
129 277 29
130 204 62
130 2306 60
130 8326 13
130 2928 173
131 6381 93
131 2734 190
131 2748 50
132 4152 145
132 5615 88
132 8707 29
133 4603 100
133 9547 37
133 4478 65
134 9568 29
134 6552 135
134 5412 200
135 2181 22
135 6527 147
135 3944 24
135 1206 42
136 4408 115
136 8802 160
136 3076 65
136 6222 157
137 8806 170
137 8666 185
137 7966 70
137 1576 90
138 531 82
138 6905 101
138 3887 120
139 7779 147
139 7124 19
139 5782 95
139 5546 140
140 547 112
140 2455 8
141 9067 173
141 16 9
141 8270 24
142 3980 59
142 2623 185
143 2895 194
143 9542 8
143 7668 200
144 408 63
144 9376 33
144 4256 138
144 3599 197
145 2767 134
